title,description,publishedAt,url,source
"Alphatec Holdings, Inc. (NASDAQ:ATEC) Shares Sold by PNC Financial Services Group Inc.","PNC Financial Services Group Inc. reduced its stake in Alphatec Holdings, Inc. (NASDAQ:ATEC – Free Report) by 3.4% in the 3rd quarter, HoldingsChannel.com reports. The firm owned 311,834 shares of the medical technology company’s stock after selling 11,054 sh…",2024-11-27T08:58:51Z,https://www.etfdailynews.com/2024/11/27/alphatec-holdings-inc-nasdaqatec-shares-sold-by-pnc-financial-services-group-inc/,"{'id': None, 'name': 'ETF Daily News'}"
World Travel Tech Awards reveals 2024 winners,"World Travel Tech Awards – the global initiative to recognise and reward excellence in the travel tech sector – has unveiled the winners of its 2024 programme at a glittering gala reception, held in Funchal, Madeira. The finest travel technology bra...",2024-11-27T08:57:34Z,https://www.hospitalitynet.org/news/4124853.html,"{'id': None, 'name': 'Hospitality Net'}"
Pathstone Holdings LLC Raises Holdings in CyberArk Software Ltd. (NASDAQ:CYBR),"Pathstone Holdings LLC raised its position in CyberArk Software Ltd. (NASDAQ:CYBR – Free Report) by 3.0% during the third quarter, according to its most recent filing with the SEC. The institutional investor owned 6,623 shares of the technology company’s stoc…",2024-11-27T08:57:09Z,https://www.etfdailynews.com/2024/11/27/pathstone-holdings-llc-raises-holdings-in-cyberark-software-ltd-nasdaqcybr/,"{'id': None, 'name': 'ETF Daily News'}"
Pathstone Holdings LLC Sells 688 Shares of ITT Inc. (NYSE:ITT),"Pathstone Holdings LLC reduced its position in ITT Inc. (NYSE:ITT – Free Report) by 5.0% in the third quarter, Holdings Channel.com reports. The fund owned 13,090 shares of the conglomerate’s stock after selling 688 shares during the quarter. Pathstone Holdin…",2024-11-27T08:57:08Z,https://www.etfdailynews.com/2024/11/27/pathstone-holdings-llc-sells-688-shares-of-itt-inc-nyseitt/,"{'id': None, 'name': 'ETF Daily News'}"
Pathstone Holdings LLC Has $1.94 Million Stock Position in Nordson Co. (NASDAQ:NDSN),"Pathstone Holdings LLC increased its holdings in shares of Nordson Co. (NASDAQ:NDSN – Free Report) by 2.8% during the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 7,384 shares of the industrial p…",2024-11-27T08:57:08Z,https://www.etfdailynews.com/2024/11/27/pathstone-holdings-llc-has-1-94-million-stock-position-in-nordson-co-nasdaqndsn/,"{'id': None, 'name': 'ETF Daily News'}"
"Pathstone Holdings LLC Purchases 2,263 Shares of The Trade Desk, Inc. (NASDAQ:TTD)","Pathstone Holdings LLC boosted its position in The Trade Desk, Inc. (NASDAQ:TTD – Free Report) by 14.1% during the 3rd quarter, according to the company in its most recent Form 13F filing with the SEC. The institutional investor owned 18,284 shares of the tec…",2024-11-27T08:57:03Z,https://www.etfdailynews.com/2024/11/27/pathstone-holdings-llc-purchases-2263-shares-of-the-trade-desk-inc-nasdaqttd/,"{'id': None, 'name': 'ETF Daily News'}"
"MKS Instruments, Inc. (NASDAQ:MKSI) Shares Sold by Pathstone Holdings LLC","Pathstone Holdings LLC lowered its holdings in shares of MKS Instruments, Inc. (NASDAQ:MKSI – Free Report) by 3.6% in the third quarter, HoldingsChannel.com reports. The fund owned 18,674 shares of the scientific and technical instruments company’s stock afte…",2024-11-27T08:56:58Z,https://www.etfdailynews.com/2024/11/27/mks-instruments-inc-nasdaqmksi-shares-sold-by-pathstone-holdings-llc/,"{'id': None, 'name': 'ETF Daily News'}"
Karnataka KEA VAO 2024 results declared: Check details and how to find scores and merit list online,"KEA VAO Result 2024: The Karnataka Examination Authority (KEA) released the Village Administrative Officer (VAO) recruitment results on November 27, 2024. Candidates can check their results and the district-wise merit list on the official website, cetonline.k…",2024-11-27T08:56:52Z,https://economictimes.indiatimes.com/jobs/exams-results/karnataka-kea-vao-result-2024-declared-check-your-scores-and-merit-list-online/articleshow/115727698.cms,"{'id': 'the-times-of-india', 'name': 'The Times of India'}"
"AI, GenAI next major game changers; will be ubiquitous, impactful: NTT executive","NTT's IOWN platform uses light to transfer data, achieving ultra-low latency.  A 3,000-km link between Japan and Taiwan demonstrates the technology.  New optical fibers quadruple data capacity.  This improves data center communication.  The technology also en…",2024-11-27T08:56:49Z,https://economictimes.indiatimes.com/tech/artificial-intelligence/ai-genai-next-major-game-changers-will-be-ubiquitous-impactful-ntt-executive/articleshow/115727957.cms,"{'id': 'the-times-of-india', 'name': 'The Times of India'}"
enGene (NASDAQ:ENGN) vs. PharmaCyte Biotech (OTCMKTS:PMCBD) Head-To-Head Contrast,"enGene (NASDAQ:ENGN – Get Free Report) and PharmaCyte Biotech (OTCMKTS:PMCBD – Get Free Report) are both small-cap medical companies, but which is the superior business? We will compare the two businesses based on the strength of their earnings, analyst recom…",2024-11-27T08:54:56Z,https://www.etfdailynews.com/2024/11/27/engene-nasdaqengn-vs-pharmacyte-biotech-otcmktspmcbd-head-to-head-contrast/,"{'id': None, 'name': 'ETF Daily News'}"
